title,url
My Villain Gang,https://mangalivre.net/manga/my-villain-gang/12981
New Identity,https://mangalivre.net/manga/new-identity/12071
Get Out of My House!,https://mangalivre.net/manga/get-out-of-my-house/13587
Apocalypse Forecast,https://mangalivre.net/manga/apocalypse-forecast/13219
Isekai Kenja no Tensei Musou ~Geemu no Chishiki de Isekai Saikyou~,https://mangalivre.net/manga/isekai-kenja-no-tensei-musou-geemu-no-chishiki-de-isekai-saikyou/11065
Water Overflow,https://mangalivre.net/manga/water-overflow/12486
Queen Bee,https://mangalivre.net/manga/queen-bee/8605
Blade and Expedition: Impervious Sword,https://mangalivre.net/manga/blade-and-expedition-impervious-sword/13935
Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken (Novel),https://mangalivre.net/manga/otonari-no-tenshi-sama-ni-itsunomanika-dame-ningen-ni-sareteita-ken-novel/13193
Second Life on the Red Carpet,https://mangalivre.net/manga/second-life-on-the-red-carpet/14282
My Neighbor Alien is Scary,https://mangalivre.net/manga/my-neighbor-alien-is-scary/14296
Nine Evolutions of the True Spirit,https://mangalivre.net/manga/nine-evolutions-of-the-true-spirit/13877
Tights de Iyashite Kureru Yome,https://mangalivre.net/manga/tights-de-iyashite-kureru-yome/11263
She May Not Be Cute,https://mangalivre.net/manga/she-may-not-be-cute/9523
Once More,https://mangalivre.net/manga/once-more/9338
Eternal First God,https://mangalivre.net/manga/eternal-first-god/12068
Asobi Asobase,https://mangalivre.net/manga/asobi-asobase/10909
The Demon King Wants to Die,https://mangalivre.net/manga/the-demon-king-wants-to-die/10901
Martial Inverse,https://mangalivre.net/manga/martial-inverse/11365
"Prince, Don’t Do This!",https://mangalivre.net/manga/prince-dont-do-this/7401
"Once Again, Into the Light",https://mangalivre.net/manga/once-again-into-the-light/13519
Today the Villainess Has Fun Again,https://mangalivre.net/manga/today-the-villainess-has-fun-again/13469
As Long As You Like It,https://mangalivre.net/manga/as-long-as-you-like-it/9777
The Princess's Double Life,https://mangalivre.net/manga/the-princesss-double-life/13789
Immoral Night,https://mangalivre.net/manga/immoral-night/10918
Yongsaui Jeon Yeochinimnida - I'm the Ex-Girlfriend of a Soldier,https://mangalivre.net/manga/yongsaui-jeon-yeochinimnida---im-the-ex-girlfriend-of-a-soldier/10397
Poggun Ui Yuilhan Johyangsaga Doeeossseubnida - The Tyrant's Only Perfumer,https://mangalivre.net/manga/poggun-ui-yuilhan-johyangsaga-doeeossseubnida---the-tyrants-only-perfumer/13177
Please Throw Me Away,https://mangalivre.net/manga/please-throw-me-away/10178
Jirai Nandesuka? Chihara-san,https://mangalivre.net/manga/jirai-nandesuka-chihara-san/13680
"Kanojo, Okarishimasu",https://mangalivre.net/manga/kanojo-okarishimasu/6763
Martial Peak,https://mangalivre.net/manga/martial-peak/7302
Wo Neng Tiqu Shuxing - Attribute Extractor,https://mangalivre.net/manga/wo-neng-tiqu-shuxing---attribute-extractor/13808
Get Schooled,https://mangalivre.net/manga/get-schooled/12889
24-ku no Hanako-san,https://mangalivre.net/manga/24-ku-no-hanako-san/11253
Hanayamata,https://mangalivre.net/manga/hanayamata/13627
Kimi wa Houkago Insomnia,https://mangalivre.net/manga/kimi-wa-houkago-insomnia/9900
Nige Jouzu no Wakagimi,https://mangalivre.net/manga/nige-jouzu-no-wakagimi/11798
Blue Period,https://mangalivre.net/manga/blue-period/9886
Zense wa Kentei. Konjou Kuzu Ouji,https://mangalivre.net/manga/zense-wa-kentei-konjou-kuzu-ouji/13107
Elf Who Likes To Be Humiliated,https://mangalivre.net/manga/elf-who-likes-to-be-humiliated/14227
Jungle Juice,https://mangalivre.net/manga/jungle-juice/11624
Kengan Ashura,https://mangalivre.net/manga/kengan-ashura/7671
The Legendary Mechanic,https://mangalivre.net/manga/the-legendary-mechanic/12079
Sunbaeg-ui Ellisabes - Pure White Elizabeth,https://mangalivre.net/manga/sunbaeg-ui-ellisabes---pure-white-elizabeth/13202
Threads of Love,https://mangalivre.net/manga/threads-of-love/13836
Heavenly Martial God,https://mangalivre.net/manga/heavenly-martial-god/13666
I Became the Wife of the Male Lead,https://mangalivre.net/manga/i-became-the-wife-of-the-male-lead/13511
Isekai no Sata wa Shachiku Shidai,https://mangalivre.net/manga/isekai-no-sata-wa-shachiku-shidai/13902
Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,https://mangalivre.net/manga/zom-100-zombie-ni-naru-made-ni-shitai-100-no-koto/8856
"Wake Up, Warrior",https://mangalivre.net/manga/wake-up-warrior/9936
How to Live as a Villain,https://mangalivre.net/manga/how-to-live-as-a-villain/14020
Antidote,https://mangalivre.net/manga/antidote/14009
Forced to Be a Princess After Reincarnating in Another World,https://mangalivre.net/manga/forced-to-be-a-princess-after-reincarnating-in-another-world/14106
Gintama,https://mangalivre.net/manga/gintama/152
Your Majesty Please Don't Kill me Again,https://mangalivre.net/manga/your-majesty-please-dont-kill-me-again/11016
Awakened Perspective: The School Flowers Beloved Master,https://mangalivre.net/manga/awakened-perspective-the-school-flowers-beloved-master/13713
Boku no Kokoro no Yabai Yatsu,https://mangalivre.net/manga/boku-no-kokoro-no-yabai-yatsu/7146
